Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
RB1		188	175	2605	6.7%	Yes
ARAF		49	46	2643	1.7%	Yes
SMC3		1	1	148	0.7%	Yes
PREX2		65	55	969	5.7%	Yes
AKT2		20	18	2526	0.7%	Yes
MYC		42	39	2643	1.5%	Yes
WDR90		12	11	148	7.4%	Yes
AKT3		23	21	2526	0.8%	Yes
HOXA3		1	1	2643	<0.1%	Yes
AKT1		42	40	2643	1.5%	Yes
PRSS8		11	10	1117	0.9%	Yes
GTSE1		8	6	148	4.1%	Yes
DAXX		86	84	2526	3.3%	Yes
PRKCI		28	27	2378	1.1%	Yes
MEF2B		35	34	2526	1.3%	Yes
FRS2		12	12	1117	1.1%	Yes
DICER1		28	27	969	2.8%	Yes
PASK		10	9	148	6.1%	Yes
SOX10		21	20	1117	1.8%	Yes
NUP93		40	39	1117	3.5%	Yes
AR		185	154	2605	5.9%	Yes
MTAP		5	5	1409	0.4%	Yes
PRKAR1A		19	18	2526	0.7%	Yes
TYRO3		40	40	1409	2.8%	Yes
NUP98		8	8	148	5.4%	Yes
PRKDC		137	121	1117	10.8%	Yes
GATA6		47	46	2378	1.9%	Yes
GATA4		31	30	2378	1.3%	Yes
GATA3		69	68	2526	2.7%	Yes
GATA2		38	37	1117	3.3%	Yes
ZNF24		1	1	148	0.7%	Yes
GATA1		15	15	1117	1.3%	Yes
GRIN2A		63	54	1117	4.8%	Yes
NCSTN		2	2	148	1.4%	Yes
TERT		187	186	2495	7.5%	Yes
RAD21		19	17	1557	1.1%	Yes
PLCG2		47	47	1117	4.2%	Yes
NKX2-1		59	54	2526	2.1%	Yes
BARD1		100	100	2526	4.0%	Yes
LYN		16	15	2378	0.6%	Yes
CREBBP		225	196	2526	7.8%	Yes
JUN		36	35	2526	1.4%	Yes
TIPARP		19	19	1409	1.3%	Yes
H3F3A		8	8	2378	0.3%	Yes
BRAF		133	133	2643	5.0%	Yes
CYLD		10	9	969	0.9%	Yes
FAT1		162	142	969	14.7%	Yes
REL		17	17	1409	1.2%	Yes
CDK12		119	97	2605	3.7%	Yes
EZH2		25	23	2643	0.9%	Yes
RET		167	163	2643	6.2%	Yes
CDKN1A		43	37	2378	1.6%	Yes
BTG2		5	5	1557	0.3%	Yes
SETD2		216	191	2526	7.6%	Yes
BTG1		6	6	2378	0.3%	Yes
CDKN1B		47	46	2526	1.8%	Yes
CTCF		54	52	2526	2.1%	Yes
GLI1		45	39	969	4.0%	Yes
PHF6		4	4	148	2.7%	Yes
MED12		207	191	2526	7.6%	Yes
JAK2		92	85	2643	3.2%	Yes
JARID2		3	3	148	2.0%	Yes
CIC		111	107	2526	4.2%	Yes
JAK3		95	91	2643	3.4%	Yes
IKBKE		60	57	2526	2.3%	Yes
JAK1		65	61	2526	2.4%	Yes
DUSP2		4	3	148	2.0%	Yes
TET2		238	206	2526	8.2%	Yes
PAX5		38	34	2526	1.3%	Yes
DUSP9		4	4	148	2.7%	Yes
NCOR2		16	12	148	8.1%	Yes
RARA		44	44	2526	1.7%	Yes
POT1		1	1	148	0.7%	Yes
PPARG		19	18	1409	1.3%	Yes
FH		47	45	2378	1.9%	Yes
EGFR		274	229	2643	8.7%	Yes
NSD3		37	35	1409	2.5%	Yes
ARFRP1		23	23	2526	0.9%	Yes
NRAS		41	41	2643	1.6%	Yes
NSD1		66	61	969	6.3%	Yes
NSD2		43	42	1557	2.7%	Yes
STAT4		17	15	1117	1.3%	Yes
SPOP		43	43	2526	1.7%	Yes
PMS2		68	68	2378	2.9%	Yes
STAT6		4	3	148	2.0%	Yes
RICTOR		101	100	2526	4.0%	Yes
SF3B1		81	79	2526	3.1%	Yes
RUNX1T1		40	37	969	3.8%	Yes
BRD4		103	102	2526	4.0%	Yes
CDKN2B		26	25	2526	1.0%	Yes
CDKN2C		15	15	2526	0.6%	Yes
GABRA6		48	46	2378	1.9%	Yes
CDKN2A		166	160	2643	6.1%	Yes
STAT3		24	24	2526	1.0%	Yes
ELP2		1	1	148	0.7%	Yes
SNCAIP		61	57	2378	2.4%	Yes
