Gene	# Structural Variant	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
RB1	11	11	799	1.4%	Yes
ANKLE2	1	1	799	0.1%	No
SPI1	1	1	799	0.1%	No
PGAP3	1	1	799	0.1%	No
UXS1	1	1	799	0.1%	No
STMN3	1	1	799	0.1%	No
SMC5	5	5	799	0.6%	No
ELK4	1	1	799	0.1%	Yes
MPRIP	1	1	799	0.1%	No
AKT2	1	1	799	0.1%	Yes
MYC	17	17	799	2.1%	Yes
CREB3L1	2	2	799	0.3%	Yes
MYB	3	3	799	0.4%	Yes
AKT3	2	2	799	0.3%	Yes
AKT1	2	2	799	0.3%	Yes
BBX	1	1	799	0.1%	No
NUP214	2	2	799	0.3%	Yes
UNC13B	1	1	799	0.1%	No
DAXX	2	2	799	0.3%	Yes
PRKCI	2	2	799	0.3%	Yes
RBFOX2	1	1	799	0.1%	No
MEF2B	1	1	799	0.1%	Yes
RFX2	1	1	799	0.1%	No
CACNA2D3	1	1	799	0.1%	No
FRS2	3	3	799	0.4%	Yes
SND1	5	5	799	0.6%	Yes
BCR	19	18	799	2.3%	Yes
EML4	18	18	799	2.3%	Yes
CNBD1	1	1	799	0.1%	No
AR	23	18	799	2.3%	Yes
MTAP	5	5	799	0.6%	Yes
EWSR1	4	4	799	0.5%	Yes
DDIT3	3	3	799	0.4%	Yes
NUP98	1	1	799	0.1%	Yes
SEH1L	1	1	799	0.1%	No
PRKDC	3	3	799	0.4%	Yes
ABCB4	1	1	799	0.1%	No
NPRL3	1	1	799	0.1%	No
GATA6	1	1	799	0.1%	Yes
PDGFB	1	1	799	0.1%	Yes
MTMR8	1	1	799	0.1%	No
GATA3	1	1	799	0.1%	Yes
RAD21	1	1	799	0.1%	Yes
AGMO	1	1	799	0.1%	No
PLCG2	1	1	799	0.1%	Yes
LTA4H	1	1	799	0.1%	No
ATG7	2	2	799	0.3%	No
EXPH5	1	1	799	0.1%	No
LYN	2	2	799	0.3%	Yes
CREBBP	4	4	799	0.5%	Yes
JUN	1	1	799	0.1%	Yes
ZNF384	2	2	799	0.3%	Yes
JAG1	1	1	799	0.1%	No
CHKA	1	1	799	0.1%	No
DMPK	1	1	799	0.1%	No
NFATC3	1	1	799	0.1%	No
IRF2BP2	1	1	799	0.1%	No
BRAF	26	24	799	3.0%	Yes
PA2G4	1	1	799	0.1%	No
LYZ	1	1	799	0.1%	No
PBX1	3	3	799	0.4%	Yes
ST18	1	1	799	0.1%	No
COL1A1	1	1	799	0.1%	Yes
MLLT10	2	2	799	0.3%	Yes
TRIP6	1	1	799	0.1%	No
CEP83	1	1	799	0.1%	No
CDK12	13	12	799	1.5%	Yes
CDK14	1	1	799	0.1%	No
