Gene	Gistic(Q-value)	Cytoband	CNA	Profiled Samples	#	Freq	Is Cancer Gene (source: OncoKB)
PPP1R12B		1q32.1	AMP	508	20261	2.5%	No
EWSR1		22q12.2	AMP	444	20261	2.2%	Yes
SNAPC4		9q34.3	AMP	268	20261	1.3%	No
NOL4		18q12.1	AMP	341	20261	1.7%	No
SAMD3		6q23.1	AMP	229	20261	1.1%	No
PDE4B		1p31.3	HOMDEL	312	20261	1.5%	No
PMS2		7p22.1	HOMDEL	280	20261	1.4%	Yes
GPHN		14q23.3-q24.1	HOMDEL	207	20261	1.0%	Yes
PHACTR3		20q13.32-q13.33	AMP	857	20261	4.2%	No
MAPK9		5q35.3	HOMDEL	162	20261	0.8%	No
WDR72		15q21.3	AMP	162	20261	0.8%	No
FGFR2		10q26.13	AMP	252	20261	1.2%	Yes
PAX5		9p13.2	HOMDEL	485	20261	2.4%	Yes
TMC5		16p12.3	AMP	151	20261	0.7%	No
TNN		1q25.1	HOMDEL	31	20261	0.2%	No
SMARCAL1		2q35	AMP	135	20261	0.7%	No
SEMA6D		15q21.1	AMP	135	20261	0.7%	No
SYTL2		11q14.1	AMP	140	20261	0.7%	No
NFKBIA		14q13.2	AMP	524	20261	2.6%	Yes
LDB2		4p15.32	AMP	235	20261	1.2%	No
AK9		6q21	AMP	130	20261	0.6%	No
FOCAD		9p21.3	HOMDEL	738	20261	3.6%	No
RNF212		4p16.3	HOMDEL	222	20261	1.1%	No
PRKDC		8q11.21	HOMDEL	149	20261	0.7%	Yes
FGFR4		5q35.2	AMP	481	20261	2.4%	Yes
ARHGAP44		17p12	AMP	172	20261	0.8%	No
LINC02267		4q22.3	AMP	56	20261	0.3%	No
ROBO1		3p12.3	AMP	200	20261	1.0%	Yes
ROBO2		3p12.3	AMP	113	20261	0.6%	No
POLD1		19q13.33	AMP	447	20261	2.2%	Yes
ELF3		1q32.1	HOMDEL	99	20261	0.5%	Yes
SMC1A		Xp11.22	HOMDEL	501	20261	2.5%	Yes
MPRIP		17p11.2	HOMDEL	271	20261	1.3%	No
MIR548H2		16p13.13	AMP	283	20261	1.4%	No
STXBP6		14q12	AMP	139	20261	0.7%	No
SPARC		5q33.1	HOMDEL	135	20261	0.7%	No
POT1		7q31.33	HOMDEL	139	20261	0.7%	Yes
C9ORF116		9q34.3	AMP	291	20261	1.4%	No
CDKAL1		6p22.3	HOMDEL	174	20261	0.9%	No
AK5		1p31.1	AMP	95	20261	0.5%	No
SACS		13q12.12	HOMDEL	270	20261	1.3%	No
RPS6KA5		14q32.11	AMP	301	20261	1.5%	No
AQP9		15q21.3	AMP	100	20261	0.5%	No
ABI3BP		3q12.2	HOMDEL	120	20261	0.6%	No
LINC02231		12q14.3	AMP	111	20261	0.5%	No
FGFR3		4p16.3	AMP	456	20261	2.3%	Yes
PTER		10p13	HOMDEL	297	20261	1.5%	No
ROCK1		18q11.1	AMP	223	20261	1.1%	No
XRCC4		5q14.2	AMP	110	20261	0.5%	No
MGMT		10q26.3	HOMDEL	1016	20261	5.0%	No
TUBA1B		12q13.12	HOMDEL	69	20261	0.3%	No
CEP68		2p14	HOMDEL	44	20261	0.2%	No
ARHGEF3		3p14.3	HOMDEL	457	20261	2.3%	No
SUFU		10q24.32	AMP	193	20261	1.0%	Yes
MEN1		11q13.1	AMP	399	20261	2.0%	Yes
NOS1AP		1q23.3	HOMDEL	24	20261	0.1%	No
EBF1		5q33.3	HOMDEL	259	20261	1.3%	Yes
KCNJ3		2q24.1	HOMDEL	62	20261	0.3%	No
AR		Xq12	AMP	354	20261	1.7%	Yes
VSTM5		11q21	AMP	183	20261	0.9%	No
SLC26A10		12q13.3	AMP	444	20261	2.2%	No
POLE		12q24.33	AMP	452	20261	2.2%	Yes
FXN		9q21.11	AMP	176	20261	0.9%	No
GPC5		13q31.3	AMP	289	20261	1.4%	No
NFKB1		4q24	AMP	42	20261	0.2%	No
