Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
ATF1		85	84	20308	0.4%	Yes
MT-ND6		191	189	20308	0.9%	No
RB1		1175	1005	20308	4.9%	Yes
MT-ND5		3951	3358	20308	16.5%	No
MAML2		439	402	20308	2.0%	Yes
ARAF		279	263	20308	1.3%	Yes
SMC3		359	319	20308	1.6%	Yes
PREX2		1293	1004	20308	4.9%	Yes
AKT2		228	213	20308	1.0%	Yes
MYC		364	260	20308	1.3%	Yes
MYB		251	237	20308	1.2%	Yes
AKT3		215	192	20308	0.9%	Yes
AKT1		387	366	20308	1.8%	Yes
PRKACA		154	144	20308	0.7%	Yes
NCKAP5		236	182	4190	4.3%	No
DAXX		248	224	16118	1.4%	Yes
PRKCH		58	53	4190	1.3%	No
MEF2B		13	10	20308	<0.1%	Yes
PRKCA		254	238	20308	1.2%	No
FRS2		215	198	20308	1.0%	Yes
DICER1		815	643	20308	3.2%	Yes
SOX10		231	220	20308	1.1%	Yes
KNSTRN		247	237	20308	1.2%	Yes
NUP93		413	395	20308	1.9%	Yes
AR		546	482	20308	2.4%	Yes
EWSR1		306	291	20308	1.4%	Yes
PRKAR1A		172	155	20308	0.8%	Yes
DDIT3		77	75	20308	0.4%	Yes
MAML3		449	410	16118	2.5%	No
SF1		230	215	16118	1.3%	No
PRKDC		1912	1515	20308	7.5%	Yes
TTYH1		279	271	20308	1.3%	No
ABCB4		546	469	16118	2.9%	No
PDGFB		162	160	20308	0.8%	Yes
GATA3		325	292	20308	1.4%	Yes
GATA2		228	210	20308	1.0%	Yes
GATA1		201	192	20308	0.9%	Yes
HIF1A		333	307	20308	1.5%	Yes
GRIN2A		1182	880	20308	4.3%	Yes
TERT		9993	6489	20308	32.0%	Yes
NTHL1		170	167	16118	1.0%	Yes
RAD21		264	251	20308	1.2%	Yes
NKX2-1		175	159	20308	0.8%	Yes
ELANE		137	136	16118	0.8%	No
BARD1		408	385	20308	1.9%	Yes
TOE1		6	6	20308	<0.1%	No
CREBBP		1556	1280	20308	6.3%	Yes
H3F3B		64	62	20308	0.3%	Yes
TSLP		18	18	4190	0.4%	No
H3F3A		259	258	20308	1.3%	Yes
BRAF		1668	1511	20308	7.4%	Yes
COL1A1		989	823	20308	4.1%	Yes
DHFR		2	2	20308	<0.1%	No
CYLD		326	295	20308	1.5%	Yes
HNRNPK		143	132	16118	0.8%	No
FAT1		2450	1919	20308	9.4%	Yes
REL		284	266	20308	1.3%	Yes
FAT3		3028	2101	20308	10.3%	No
CDK12		676	594	20308	2.9%	Yes
EZH1		255	233	20308	1.1%	Yes
EZH2		379	329	20308	1.6%	Yes
CDKN1C		119	112	16118	0.7%	Yes
RET		743	659	20308	3.2%	Yes
CDKN1A		193	167	20308	0.8%	Yes
SETD2		1439	1176	20308	5.8%	Yes
BTG1		222	149	20308	0.7%	Yes
CDKN1B		225	208	20308	1.0%	Yes
PRKAG2		40	39	4190	0.9%	No
ASH2L		221	204	20308	1.0%	No
CTCF		434	361	20308	1.8%	Yes
GLI1		646	577	20308	2.8%	Yes
PHF6		142	138	20308	0.7%	Yes
GLI2		1165	984	20308	4.8%	No
MED12		924	739	20308	3.6%	Yes
SHH		193	182	20308	0.9%	No
NIPBL		1113	929	20308	4.6%	No
AIFM3		13	11	20308	<0.1%	No
HEY1		123	120	20308	0.6%	Yes
RSPO2		207	196	20308	1.0%	Yes
RSPO3		178	167	20308	0.8%	Yes
ELOC		39	38	20308	0.2%	Yes
JAK2		511	446	20308	2.2%	Yes
CIC		1367	1099	20308	5.4%	Yes
JAK3		616	559	20308	2.8%	Yes
IKBKE		343	325	20308	1.6%	Yes
JAK1		557	483	20308	2.4%	Yes
DUSP4		190	162	20308	0.8%	Yes
SS18		228	220	20308	1.1%	Yes
DUSP2		299	242	20308	1.2%	Yes
FMC1-LUC7L2		120	114	20308	0.6%	No
TCF12		281	263	16118	1.6%	Yes
TET2		1248	1047	20308	5.2%	Yes
PAX3		274	259	20308	1.3%	Yes
RRAS2		157	155	20308	0.8%	Yes
FOS		93	91	16118	0.6%	No
PAX5		324	300	20308	1.5%	Yes
DUSP6		38	36	4190	0.9%	No
COL2A1		1020	829	20308	4.1%	Yes
PLCB4		855	680	20308	3.3%	No
NCOR1		1030	896	20308	4.4%	Yes
PAX8		232	214	20308	1.1%	Yes
SDHAF2		58	58	16118	0.4%	Yes
PAX7		314	299	20308	1.5%	Yes
RARA		293	276	20308	1.4%	Yes
POT1		393	367	20308	1.8%	Yes
PPARG		183	167	16118	1.0%	Yes
FH		257	236	20308	1.2%	Yes
RPL10		24	22	4190	0.5%	Yes
SAMD9		697	584	16118	3.6%	Yes
CRCT1		47	47	20308	0.2%	No
ABCB11		632	546	16118	3.4%	No
EGFR		1940	1565	20308	7.7%	Yes
NRAS		629	598	20308	2.9%	Yes
WRN		689	621	20308	3.1%	Yes
EPCAM		192	187	20308	0.9%	Yes
NSD1		1014	873	20308	4.3%	Yes
