Gene	# Structural Variant	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
ATF1	22	22	4330	0.5%	Yes
MT-ND5	1	1	4330	<0.1%	No
MYLK	1	1	4330	<0.1%	No
AKT2	1	1	4330	<0.1%	Yes
NDST3	1	1	4330	<0.1%	No
AKT3	1	1	4330	<0.1%	Yes
PWWP2A	6	6	4330	0.1%	No
PRKACA	12	12	4330	0.3%	Yes
MEF2A	1	1	4330	<0.1%	No
RBFOX2	1	1	4330	<0.1%	No
MRTFB	1	1	4330	<0.1%	No
RFX3	1	1	4330	<0.1%	No
FRS2	6	6	4330	0.1%	Yes
DICER1	2	2	4330	<0.1%	Yes
UNC5D	1	1	4330	<0.1%	No
SND1	7	7	4330	0.2%	Yes
BCR	3	3	4330	<0.1%	Yes
EML4	75	75	4330	1.7%	Yes
AR	2	2	4330	<0.1%	Yes
EWSR1	157	154	4330	3.6%	Yes
PRKAR1A	2	2	4330	<0.1%	Yes
DDIT3	17	17	4330	0.4%	Yes
RUFY2	1	1	4330	<0.1%	No
ATF7	1	1	4330	<0.1%	No
SKAP1	1	1	4330	<0.1%	No
OPTN	4	4	4330	<0.1%	No
SKAP2	1	1	4330	<0.1%	No
MEAF6	1	1	4330	<0.1%	No
TTYH1	10	10	4330	0.2%	No
PDGFB	10	10	4330	0.2%	Yes
AGAP1	1	1	4330	<0.1%	No
GATA3	4	4	4330	<0.1%	Yes
ZC3HAV1	1	1	4330	<0.1%	No
AGAP3	2	2	4330	<0.1%	No
ZNF24	1	1	4330	<0.1%	Yes
GATA1	1	1	4330	<0.1%	Yes
RNF213	1	1	4330	<0.1%	Yes
PRKAR2B	3	3	4330	<0.1%	No
EPB41L2	2	2	4330	<0.1%	No
PRKAR2A	1	1	4330	<0.1%	No
ATG7	3	3	4330	<0.1%	No
PPARGC1B	2	2	4330	<0.1%	No
CREBBP	10	10	4330	0.2%	Yes
C5ORF38	1	1	4330	<0.1%	No
FN1	5	5	4330	0.1%	No
PBX3	1	1	4330	<0.1%	No
FLI1	66	66	4330	1.5%	Yes
PBX1	2	2	4330	<0.1%	Yes
COL1A1	15	15	4330	0.3%	Yes
MLLT10	2	2	4330	<0.1%	Yes
CYP2C8	1	1	4330	<0.1%	No
PPFIBP1	3	3	4330	<0.1%	Yes
COL1A2	1	1	4330	<0.1%	No
FASN	1	1	4330	<0.1%	No
FAT1	3	3	4330	<0.1%	Yes
STRN	2	2	4330	<0.1%	Yes
FXYD6	1	1	4330	<0.1%	No
HLA-DRB1	1	1	4330	<0.1%	No
PRKAG2	2	2	4330	<0.1%	No
CTCF	1	1	4330	<0.1%	Yes
ECSIT	1	1	4330	<0.1%	Yes
TRIOBP	1	1	4330	<0.1%	No
MED12	2	2	4330	<0.1%	Yes
PANX1	1	1	4330	<0.1%	No
NIPBL	6	6	4330	0.1%	No
ATIC	3	3	4330	<0.1%	Yes
HEY1	3	3	4330	<0.1%	Yes
HEY2	1	1	4330	<0.1%	No
NELFA	1	1	4330	<0.1%	No
IKBKG	1	1	4330	<0.1%	No
JAK2	9	9	4330	0.2%	Yes
JAK1	1	1	4330	<0.1%	Yes
