Gene	Gistic(Q-value)	Cytoband	CNA	Profiled Samples	#	Freq	Is Cancer Gene (source: OncoKB)
SOX2		3q26.33	AMP	48	2643	1.8%	Yes
STAT6		12q13.3	AMP	1	2643	<0.1%	Yes
EP300		22q13.2	AMP	4	2643	0.2%	Yes
BCOR		Xp11.4	HOMDEL	3	2643	0.1%	Yes
EPHA7		6q16.1	AMP	2	2643	<0.1%	Yes
FANCE		6p21.31	AMP	4	2643	0.2%	Yes
ARID1A		1p36.11	HOMDEL	3	2643	0.1%	Yes
FGFR2		10q26.13	AMP	14	2643	0.5%	Yes
PAX5		9p13.2	HOMDEL	2	2643	<0.1%	Yes
FGF6		12p13.32	AMP	36	2643	1.4%	Yes
FRS2		12q15	AMP	49	2643	1.9%	Yes
MST1R		3p21.31	HOMDEL	1	2643	<0.1%	Yes
XRCC2		7q36.1	AMP	4	2643	0.2%	Yes
BTG2		1q32.1	AMP	16	2643	0.6%	Yes
FAF1		1p32.3	AMP	1	2643	<0.1%	Yes
ACVR1B		12q13.13	AMP	1	2643	<0.1%	Yes
ATM		11q22.3	AMP	1	2643	<0.1%	Yes
SRSF2		17q25.1	AMP	1	2643	<0.1%	Yes
FAS		10q23.31	HOMDEL	13	2643	0.5%	Yes
NFKBIA		14q13.2	AMP	45	2643	1.7%	Yes
NFE2L2		2q31.2	AMP	10	2643	0.4%	Yes
EED		11q14.2	AMP	10	2643	0.4%	Yes
NBN		8q21.3	AMP	73	2643	2.8%	Yes
BTG1		12q21.33	HOMDEL	2	2643	<0.1%	Yes
FGFR4		5q35.2	AMP	4	2643	0.2%	Yes
POLD1		19q13.33	AMP	3	2643	0.1%	Yes
GRIN2A		16p13.2	AMP	1	2643	<0.1%	Yes
MEN1		11q13.1	HOMDEL	4	2643	0.2%	Yes
TSC1		9q34.13	HOMDEL	2	2643	<0.1%	Yes
BRIP1		17q23.2	HOMDEL	1	2643	<0.1%	Yes
CKS1B		1q21.3	AMP	1	2643	<0.1%	Yes
MAP2K4		17p12	AMP	7	2643	0.3%	Yes
CDKN2B		9p21.3	AMP	6	2643	0.2%	Yes
CCN6		6q21	AMP	2	2643	<0.1%	Yes
FANCC		9q22.32	AMP	4	2643	0.2%	Yes
EGFR		7p11.2	AMP	71	2643	2.7%	Yes
HDAC7		12q13.11	AMP	1	2643	<0.1%	Yes
FGFR3		4p16.3	AMP	3	2643	0.1%	Yes
MTAP		9p21.3	HOMDEL	134	2643	5.1%	Yes
PDCD1LG2		9p24.1	AMP	12	2643	0.5%	Yes
RAD21		8q24.11	AMP	115	2643	4.4%	Yes
CCND1		11q13.3	AMP	122	2643	4.6%	Yes
ROS1		6q22.1	HOMDEL	1	2643	<0.1%	Yes
IRF4		6p25.3	HOMDEL	1	2643	<0.1%	Yes
MET		7q31.2	AMP	48	2643	1.8%	Yes
MEN1		11q13.1	AMP	3	2643	0.1%	Yes
EBF1		5q33.3	HOMDEL	1	2643	<0.1%	Yes
EPHA5		4q13.1-q13.2	AMP	5	2643	0.2%	Yes
FANCD2		3p25.3	AMP	7	2643	0.3%	Yes
FANCG		9p13.3	AMP	14	2643	0.5%	Yes
AR		Xq12	AMP	70	2643	2.6%	Yes
RAD51		15q15.1	HOMDEL	1	2643	<0.1%	Yes
POT1		7q31.33	AMP	1	2643	<0.1%	Yes
KEAP1		19p13.2	AMP	7	2643	0.3%	Yes
GRM3		7q21.11-q21.12	AMP	47	2643	1.8%	Yes
HRAS		11p15.5	AMP	3	2643	0.1%	Yes
PTPN6		12p13.31	AMP	1	2643	<0.1%	Yes
BIRC3		11q22.2	AMP	2	2643	<0.1%	Yes
BCL2		18q21.33	AMP	6	2643	0.2%	Yes
CREBBP		16p13.3	HOMDEL	1	2643	<0.1%	Yes
FH		1q43	AMP	33	2643	1.2%	Yes
MUTYH		1p34.1	AMP	2	2643	<0.1%	Yes
DAXX		6p21.32	HOMDEL	1	2643	<0.1%	Yes
ERBB3		12q13.2	AMP	7	2643	0.3%	Yes
NSD3		8p11.23	HOMDEL	1	2643	<0.1%	Yes
PARP2		14q11.2	AMP	5	2643	0.2%	Yes
BCL2L1		20q11.21	AMP	68	2643	2.6%	Yes
CHEK2		22q12.1	AMP	4	2643	0.2%	Yes
JAK2		9p24.1	HOMDEL	2	2643	<0.1%	Yes
FLCN		17p11.2	HOMDEL	1	2643	<0.1%	Yes
PIK3R1		5q13.1	HOMDEL	5	2643	0.2%	Yes
BTG1		12q21.33	AMP	5	2643	0.2%	Yes
MERTK		2q13	AMP	1	2643	<0.1%	Yes
CARD11		7p22.2	AMP	22	2643	0.8%	Yes
FAT1		4q35.2	HOMDEL	1	2643	<0.1%	Yes
FGFR1		8p11.23	AMP	73	2643	2.8%	Yes
EPHA3		3p11.1	AMP	17	2643	0.6%	Yes
FANCA		16q24.3	AMP	1	2643	<0.1%	Yes
MPL		1p34.2	AMP	9	2643	0.3%	Yes
DAXX		6p21.32	AMP	6	2643	0.2%	Yes
ERBB4		2q34	AMP	7	2643	0.3%	Yes
ARAF		Xp11.3	AMP	7	2643	0.3%	Yes
ERG		21q22.2	AMP	8	2643	0.3%	Yes
KMT2C		7q36.1	HOMDEL	1	2643	<0.1%	Yes
BCL2L2		14q11.2	AMP	15	2643	0.6%	Yes
